01/01/2020,None
02/01/2020,None
03/01/2020,None
04/01/2020,None
05/01/2020,None
06/01/2020,None
07/01/2020,None
08/01/2020,None
09/01/2020,None
10/01/2020,None
11/01/2020,None
12/01/2020,None
13/01/2020,None
14/01/2020,None
15/01/2020,None
16/01/2020,None
17/01/2020,None
18/01/2020,None
19/01/2020,None
20/01/2020,None
21/01/2020,None
22/01/2020,None
23/01/2020,None
24/01/2020,None
25/01/2020,None
26/01/2020,None
27/01/2020,None
28/01/2020,None
29/01/2020,None
30/01/2020,None
31/01/2020,None
01/02/2020,None
02/02/2020,None
03/02/2020,None
04/02/2020,None
05/02/2020,None
06/02/2020,None
07/02/2020,None
08/02/2020,None
09/02/2020,None
10/02/2020,None
11/02/2020,None
12/02/2020,None
13/02/2020,None
14/02/2020,None
15/02/2020,None
16/02/2020,None
17/02/2020,None
18/02/2020,None
19/02/2020,None
20/02/2020,None
21/02/2020,None
22/02/2020,None
23/02/2020,None
24/02/2020,None
25/02/2020,None
26/02/2020,None
27/02/2020,None
28/02/2020,None
01/03/2020,None
02/03/2020,None
03/03/2020,None
04/03/2020,None
05/03/2020,None
06/03/2020,None
07/03/2020,None
08/03/2020,None
09/03/2020,None
10/03/2020,None
11/03/2020,None
12/03/2020,Delay
13/03/2020,Delay
14/03/2020,Delay
15/03/2020,Delay
16/03/2020,Delay
17/03/2020,Delay
18/03/2020,Delay
19/03/2020,Delay
20/03/2020,Delay
21/03/2020,Delay
22/03/2020,Delay
23/03/2020,Delay
24/03/2020,Delay
25/03/2020,Delay
26/03/2020,Delay
27/03/2020,Delay
28/03/2020,Delay
29/03/2020,Delay
30/03/2020,Delay
31/03/2020,Delay
01/04/2020,Delay
02/04/2020,Delay
03/04/2020,Delay
04/04/2020,Delay
05/04/2020,Delay
06/04/2020,Delay
07/04/2020,Delay
08/04/2020,Delay
09/04/2020,Delay
10/04/2020,Delay
11/04/2020,Delay
12/04/2020,Delay
13/04/2020,Delay
14/04/2020,Delay
15/04/2020,Delay
16/04/2020,Delay
17/04/2020,Delay
18/04/2020,Delay
19/04/2020,Delay
20/04/2020,Delay
21/04/2020,Delay
22/04/2020,Delay
23/04/2020,Delay
24/04/2020,Delay
25/04/2020,Delay
26/04/2020,Delay
27/04/2020,Delay
28/04/2020,Delay
29/04/2020,Delay
30/04/2020,Delay
01/05/2020,Delay
02/05/2020,Delay
03/05/2020,Delay
04/05/2020,Delay
05/05/2020,Delay
06/05/2020,Delay
07/05/2020,Delay
08/05/2020,Delay
09/05/2020,Delay
10/05/2020,Delay
11/05/2020,Delay
12/05/2020,Delay
13/05/2020,Delay
14/05/2020,Delay
15/05/2020,Delay
16/05/2020,Delay
17/05/2020,Delay
18/05/2020, Exit Phase 1
19/05/2020, Exit Phase 1
20/05/2020, Exit Phase 1
21/05/2020, Exit Phase 1
22/05/2020, Exit Phase 1
23/05/2020, Exit Phase 1
24/05/2020, Exit Phase 1
25/05/2020, Exit Phase 1
26/05/2020, Exit Phase 1
