Day,2020,2019,2018,2017,2016,Restrictions
07/05/2020,16503,38668,33392,29217,30228,Delay
08/05/2020,17174,40055,41213,35148,27248,Delay
09/05/2020,10730,41447,41710,35521,33638,Delay
10/05/2020,7784,46716,43230,36302,33836,Delay
11/05/2020,15783,36290,48068,37350,34890,Delay
12/05/2020,16195,31650,39596,42399,35979,Delay
13/05/2020,16899,39124,33566,31640,41028,Delay
14/05/2020,17344,39209,40460,28606,31998,Delay
15/05/2020,18153,40578,39272,34782,29402,Delay
16/05/2020,12004,41539,40315,34866,33966,Delay
17/05/2020,8583,46571,42607,36219,33980,Delay
18/05/2020,20850,35031,46375,37630,35520, Exit 1
19/05/2020,21158,31943,35176,41585,36426, Exit 1
20/05/2020,21992,38574,32523,32084,40592, Exit 1
21/05/2020,22360,39037,38940,29159,31499, Exit 1
22/05/2020,22450,40904,39537,34481,27601, Exit 1
23/05/2020,16035,42009,40748,35043,33723, Exit 1
24/05/2020,12375,47614,42073,36137,34312, Exit 1
25/05/2020,21705,36040,48840,37078,35797, Exit 1
26/05/2020,22429,33587,35190,42499,36453, Exit 1
27/05/2020,23496,39139,33764,32165,41870, Exit 1
28/05/2020,24120,40235,38980,33224,31993, Exit 1
29/05/2020,25070,41074,39403,35281,29788, Exit 1
30/05/2020,17582,43321,40891,35905,35398, Exit 1
31/05/2020,12343,47218,41741,36469,34026, Exit 1
01/06/2020,14299,36592,45957,38050,35673, Exit 1
02/06/2020,24305,30027,37451,42348,36398, Exit 1
03/06/2020,23924,33043,30845,32613,41801, Exit 1
04/06/2020,24639,39512,32543,27149,32658, Exit 1
05/06/2020,26119,39462,39341,29076,27619, Exit 1
06/06/2020,18176,41126,40077,35316,29163, Exit 1
07/06/2020,14283,45171,40283,35700,35074, Exit 1
08/06/2020,24822,35088,44460,36391,34907,Exit 2
09/06/2020,25119,33658,36283,40538,35576,Exit 2
10/06/2020,26621,39702,34883,31033,40368,Exit 2
11/06/2020,27294,39339,38645,29317,30948,Exit 2
12/06/2020,28709,40232,38969,34863,28511,Exit 2
13/06/2020,21358,42166,40060,35259,32917,Exit 2
14/06/2020,16869,46569,39981,36019,33575,Exit 2
15/06/2020,26394,38155,44874,37189,34193,Exit 2
16/06/2020,26862,35405,35936,41343,35377,Exit 2
17/06/2020,27684,39167,34508,32052,40415,Exit 2
18/06/2020,28335,39344,37672,33454,29447,Exit 2
19/06/2020,31164,40639,37741,34966,30013,Exit 2
20/06/2020,23573,41399,39867,35131,33686,Exit 2
21/06/2020,19309,46051,40767,36323,33930,Exit 2
22/06/2020,27157,35225,44679,37537,34395,Exit 2
23/06/2020,27627,32058,34213,41386,35658,Exit 2
24/06/2020,29206,39167,33543,31237,39418,Exit 2
25/06/2020,29849,39344,39400,30500,30355,Exit 2
26/06/2020,32479,40639,39713,35670,26068,Exit 2
27/06/2020,25040,41399,41000,35309,33893,Exit 2
28/06/2020,19932,46051,40365,36189,33427,Exit 2
29/06/2020,30265,35225,44383,36582,34408,Exit 3
30/06/2020,31013,32058,38564,40588,35034,Exit 3
01/07/2020,32186,38049,38800,31199,38415,Exit 3
02/07/2020,33109,37488,38049,34239,30703,Exit 3
03/07/2020,36549,39509,37488,35010,31618,Exit 3
04/07/2020,29471,40073,39509,35400,33281,Exit 3
05/07/2020,25370,43696,40073,35666,33744,Exit 3
06/07/2020,31661,36969,43696,36146,34713,Exit 3
07/07/2020,31116,34359,36969,41694,34684,Exit 3
08/07/2020,32248,38462,34359,37902,39290,Exit 3
09/07/2020,33929,38607,38462,31905,32050,Exit 3
10/07/2020,38110,38272,38607,34969,29403,Exit 3
11/07/2020,30808,40753,38272,35139,33505,Exit 3
12/07/2020,27620,44374,40753,36740,33878,Exit 3
13/07/2020,32390,36616,44374,37523,35137,Exit 3
14/07/2020,32543,33789,36616,40252,35924,Exit 3
15/07/2020,33293,37601,33789,32001,39960,Exit 3
16/07/2020,34186,37983,37601,30353,31554,Exit 3
17/07/2020,38960,38921,37983,35481,28924,Exit 3
18/07/2020,31842,40000,38921,35012,33885,Exit 3
19/07/2020,28545,44231,40000,36002,34013,Exit 3
20/07/2020,34698,36566,44231,37270,35590,Exit 3
21/07/2020,33547,34098,36566,41308,35933,Exit 3
22/07/2020,34358,37947,34098,32660,40076,Exit 3
23/07/2020,35192,38134,37947,30460,32844,Exit 3
24/07/2020,39460,40070,38134,35214,29194,Exit 3
25/07/2020,32045,40972,40070,34807,34794,Exit 3
26/07/2020,28193,44339,40972,35852,35027,Exit 3
27/07/2020,33906,43946,44339,36985,37514,Exit 3
28/07/2020,34375,35071,43946,41245,37945,Exit 3
29/07/2020,35268,38777,35071,33140,42195,Exit 3
30/07/2020,36487,38621,38777,35960,36610,Exit 3
31/07/2020,41638,40685,38621,35803,32219,Exit 3
01/08/2020,34673,42526,40685,35940,29595,Exit 3
02/08/2020,26977,46238,42526,38964,38265,Exit 3
03/08/2020,31921,39346,46238,39295,37864,Exit 3
04/08/2020,35364,32073,39346,43762,39009,Exit 3
05/08/2020,34761,33124,32073,35362,40355,Exit 3
06/08/2020,36130,39377,33124,36492,38816,Exit 3
07/08/2020,40584,39299,39377,33908,29334,Exit 3
08/08/2020,31774,39896,39299,36153,33489,Exit 3
09/08/2020,27444,43336,39896,36878,33834,Exit 3
10/08/2020,32984,37089,43336,37766,35003,Exit 3
11/08/2020,33001,35954,37089,41140,35517,Exit 3
12/08/2020,34656,38356,35954,33343,39361,Exit 3
13/08/2020,34967,37788,38356,32818,33648,Exit 3
14/08/2020,39467,39805,37788,35290,37626,Exit 3
15/08/2020,31920,40455,39805,36457,34880,Exit 3
16/08/2020,27837,44224,40455,37521,35432,Exit 3
17/08/2020,33278,37100,44224,38358,35966,Exit 3
18/08/2020,33482,40065,37100,42621,37719,Exit 3
19/08/2020,34198,39826,40065,34105,41169,Exit 3
20/08/2020,32995,39472,39826,34254,33670,Exit 3
21/08/2020,39112,40689,39472,36514,34198,Exit 3
22/08/2020,31420,41371,40689,35550,35195,Exit 3
23/08/2020,28092,45783,41371,38364,34673,Exit 3
24/08/2020,33814,36144,45783,38633,36873,Exit 3
25/08/2020,31199,30894,36144,42711,36989,Exit 3
26/08/2020,34865,39436,30894,35757,40645,Exit 3
27/08/2020,34970,38864,39436,30299,32530,Exit 3
28/08/2020,39665,39829,38864,36533,30073,Exit 3
29/08/2020,32011,40045,39829,36572,35330,Exit 3
30/08/2020,27863,44645,40045,36534,33922,Exit 3
31/08/2020,33496,34837,44645,36976,34344,Exit 3
01/09/2020,32771,31536,34837,41462,35215,Exit 3
02/09/2020,33088,39175,31536,32240,39567,Exit 3
03/09/2020,34578,39229,39175,36119,30358,Exit 3
04/09/2020,39923,40439,38505,37220,27850,Exit 3
05/09/2020,30482,41203,40329,35733,34497,Exit 3
06/09/2020,27819,45957,41276,37532,34866,Exit 3
07/09/2020,33238,35755,45313,37780,36206,Exit 3
08/09/2020,32881,35576,35238,42625,36518,Exit 3
09/09/2020,33877,39115,33147,33127,41212,Exit 3
10/09/2020,35102,39262,38528,30415,31781,Exit 3
11/09/2020,40382,40353,38284,35332,29118,Exit 3
12/09/2020,30626,41501,40548,34786,33513,Exit 3
13/09/2020,28504,46069,41426,36587,34437,Exit 3
14/09/2020,33648,35431,46036,37168,36219,Exit 3
15/09/2020,33918,33473,35143,41500,36406,Level 3
16/09/2020,35149,39793,32202,33513,40867,Level 3
17/09/2020,36263,41518,39545,31488,32211,Level 3
18/09/2020,41754,42809,42138,36824,31338,Level 3
19/09/2020,29516,43338,39626,40178,35532,Level 3
20/09/2020,27300,46512,42915,39392,38326,Level 3
21/09/2020,32961,34848,47469,41392,39375,Level 3
22/09/2020,32277,31347,34569,43067,39586,Level 3
23/09/2020,34021,38656,32056,32232,41336,Level 3
24/09/2020,34989,39468,38718,30868,30917,Level 3
25/09/2020,39225,41195,38852,35434,28557,Level 3
26/09/2020,29757,42047,40482,34741,33555,Level 3
27/09/2020,26712,46510,42005,36447,33701,Level 3
28/09/2020,33117,34794,46956,37920,35477,Level 3
29/09/2020,32456,34828,35201,42979,36079,Level 3
30/09/2020,33043,38756,35629,32192,41245,Level 3
01/10/2020,34029,38963,40236,31859,36499,Level 3
02/10/2020,38246,40118,38805,36170,31129,Level 3
03/10/2020,28213,35973,40142,35503,34908,Level 3
04/10/2020,22107,43553,41129,36675,34504,Level 3
05/10/2020,33116,36046,46678,37418,35672,Level 3
06/10/2020,33338,31727,36220,43590,36221,Level 3
07/10/2020,29291,38015,31659,33954,41441,Level 3
08/10/2020,29959,38610,37599,29660,32039,Level 3
09/10/2020,32560,39789,38422,34630,27684,Level 3
10/10/2020,20772,41218,39640,35584,33884,Level 3
11/10/2020,15598,46344,41066,36523,34375,Level 3
12/10/2020,28847,33392,42498,37361,34765,Level 3
13/10/2020,28434,32265,34688,42404,36452,Level 3
14/10/2020,29956,38001,31727,31915,41245,Level 3
15/10/2020,30869,37957,38025,29257,31204,Level 3
16/10/2020,32147,39813,38389,34156,27366,Level 3
17/10/2020,21224,41444,39887,34156,33801,Level 3
18/10/2020,16248,46108,41678,37102,33686,Level 3
19/10/2020,29844,32730,45418,37419,35110,Level 3
20/10/2020,30722,31337,34352,41366,36254,Level 3
21/10/2020,33137,37961,31426,28618,40948,Level 3
22/10/2020,25694,38587,38215,28126,30459,Level 5
23/10/2020,27604,39924,37773,35453,28069,Level 5
24/10/2020,15284,41951,39591,35644,33797,Level 5
25/10/2020,10219,46932,41476,37208,33316,Level 5
26/10/2020,12597,37905,47135,38819,36409,Level 5
27/10/2020,23792,29770,35509,42838,36962,Level 5
28/10/2020,23998,33197,29377,34281,41540,Level 5
29/10/2020,23833,39244,31589,28011,31960,Level 5
30/10/2020,26500,40513,38514,29812,26453,Level 5
31/10/2020,15838,40115,38117,35266,27919,Level 5
01/11/2020,12230,43719,40304,37204,34731,Level 5
02/11/2020,25654,32439,42849,38175,35026,Level 5
03/11/2020,26080,30645,32488,42186,36508,Level 5
04/11/2020,26893,36892,30104,32316,40018,Level 5
05/11/2020,27464,38537,37603,28568,30741,Level 5
06/11/2020,29845,39721,38245,34336,27416,Level 5
07/11/2020,18877,40855,39146,36284,33015,Level 5
08/11/2020,14051,45930,40477,36380,34056,Level 5
09/11/2020,26742,34490,43984,37574,34310,Level 5
10/11/2020,27556,31077,34781,42431,35320,Level 5
11/11/2020,27231,37398,31741,32517,39930,Level 5
12/11/2020,28889,38807,37373,28626,30296,Level 5
13/11/2020,31113,39642,37342,33448,26997,Level 5
14/11/2020,19858,41232,39058,35439,33002,Level 5
15/11/2020,14871,45907,40528,37211,33372,Level 5
16/11/2020,27120,34733,45398,38005,35250,Level 5
17/11/2020,27504,31460,34770,42159,35534,Level 5
18/11/2020,28125,38126,32763,31918,40215,Level 5
19/11/2020,29031,38144,38077,29348,30002,Level 5
20/11/2020,31225,39457,38046,35220,26779,Level 5
21/11/2020,19400,41420,39130,35864,32549,Level 5
22/11/2020,15743,45692,40619,36653,33075,Level 5
23/11/2020,27709,34708,45955,38729,34829,Level 5
24/11/2020,27869,31489,34979,44175,35123,Level 5
25/11/2020,28942,37720,31547,31942,41614,Level 5
26/11/2020,29805,38180,38036,28915,30558,Level 5
27/11/2020,32750,40189,36984,35165,27539,Level 5
28/11/2020,20563,41839,37001,35490,32932,Level 5
29/11/2020,16089,47101,40128,36568,33206,Level 5
30/11/2020,28755,35778,45009,38699,34862,Level 5
01/12/2020,31460,32202,34395,41680,34325,Level 5
02/12/2020,32442,37807,31707,31620,38920,Level 5
03/12/2020,33446,38821,38415,29498,30827,Level 5
04/12/2020,36723,39976,37658,35413,28297,Level 5
05/12/2020,26048,41604,39070,36879,33471,Level 5
06/12/2020,21664,45448,40558,37706,33803,Level 5
07/12/2020,31837,35266,43700,38750,34870,Level 5
08/12/2020,31911,28992,34423,40387,36311,Level 5
09/12/2020,33174,38760,32908,31754,39899,Level 5
10/12/2020,34120,38845,38222,18511,31588,Level 5
11/12/2020,37328,40302,37895,26058,28037,Level 5
12/12/2020,27876,40977,39921,33337,34333,Level 5
13/12/2020,22221,44768,39734,37110,33956,Level 5
14/12/2020,33085,35354,43962,38541,35210,Level 5
15/12/2020,33542,31299,33203,42205,35733,Level 5
16/12/2020,34416,38843,31081,33163,39789,Level 5
17/12/2020,35619,39490,38834,30295,31219,Level 5
18/12/2020,41637,40628,39241,38046,28373,Level 5
19/12/2020,31990,42138,40436,38765,35845,Level 5
20/12/2020,28929,44081,42041,39620,35496,Level 5
21/12/2020,37090,35162,43551,40176,37099,Level 5
22/12/2020,38225,32367,35464,41388,39709,Level 5
23/12/2020,38275,39490,32410,33220,36983,Level 5
24/12/2020,26115,27047,26042,22382,23945,Level 5
25/12/2020,9568,10341,10147,9805,9100,Level 5
26/12/2020,15453,18438,18529,17798,16888,Level 5
27/12/2020,15248,30167,29656,27818,24557,Level 5
28/12/2020,17187,30318,32813,28571,28187,Level 5
29/12/2020,20481,28451,30590,31119,28790,Level 5
30/12/2020,22774,32573,28592,29032,30307,Level 5
31/12/2020,22774,28603,27026,22056,24561,Level 5
